	Source	Left	Target	Right	Type	Subject	Order	Arg0_gram	Verb_fin	Verb_gram	Obj	Arg1	Arg1_gram	Arg1_anim	Has_arg2	Arg2	Arg2_gram	Direct_meaning	Fact
1	wsport.free.fr	спрашивает: «Говорят, ты отравился?» Как будто	молнией меня ударило	. Откуда он мог это узнать?! Медленно повернулся	ins_acc	0	молния X ударить	ins	1	V,пе=прош,ед,изъяв,сред,сов	1	меня	acc	1	0			0	0
2	reaktivist.ru	херотень (за редким исключением). Какой	молнией её ударило	доподлинно неизвестно, но пластинка 2014	ins_acc	0	молния X ударить	ins	1	V,пе=прош,ед,изъяв,сред,сов	1	её	acc	1	0			0	0
3	s37blog.ru	например когда копали в запретной зоне),	молнией в него ударило	и т.п. Звоним оператору службы поддержки	ins_prep	0	молния X ударить	ins	1	V,пе=прош,ед,изъяв,сред,сов	0	в него	в+acc	1	0			1	1
4	heblit.bravepages.com	его глазами, разинув рот, и вдруг будто	молнией меня ударило	. Ведь этот мальчишка похож чем-то на Игала	ins_acc	0	молния X ударить	ins	1	V,пе=прош,ед,изъяв,сред,сов	1	меня	acc	1	0			0	0
	biografija.ru	гроз. 26 июля 1753 года Рихман был убит	молнией, ударившей	в железный шест машины; Ломоносов в тот	nom_prep	1	молния ударить X	ins	0	V,пе=прош,твор,ед,прич,полн,жен,сов,действ	0	в железный шест	в+acc	0	0			1	1
5	kartasnov.ru	электронов, я чувствовал это, как будто	молнией в меня ударило	, неприятные ощущения. Не помню, что было	ins_prep	0	молния X ударить	ins	1	V,пе=прош,ед,изъяв,сред,сов	0	в меня	в+acc	1	0			0	0
6	a-mud.ru	Когда Вас "страхует" лекарь, скорее всего,	молнией Вас не ударит	. Вот когда лекаря нет... А теперь добавлю	ins_acc	0	молния X ударить	ins	1	V,пе=непрош,ед,изъяв,3-л,сов	1	Вас	acc	1	0			1	0
	blogotshelnika.ru	Бог разгневался и послал жестокую грозу с	молнией, ударившей	в дерево и убившей всех игроков. Это и	nom_prep	1	молния X ударить	ins	0	V,пе=прош,твор,ед,прич,полн,жен,сов,действ	0	в дерево	в+acc	0	0			1	1
7	reformed.org.ua	у неопалимой купины. Приведенный в ужас	молнией, которая ударила	в землю неподалеку от него, Лютер поклялся	ins_prep	0	молния ударить X	ins	1	V,пе=прош,ед,изъяв,жен,сов	0	в землю	в+acc	0	0			1	1
	vlklit.ru	со слов родни, что тогда их чуть не убило	молнией, ударившей	в соседнее дерево. С тараканами же, напротив	nom_prep	1	молния ударить X	ins	0	V,пе=прош,твор,ед,прич,полн,жен,сов,действ	0	в соседнее дерево	в+acc	0	0			1	1
	drunkcow.net	отправился покорять горный хребет и был убит	молнией, ударившей	в палку для селфи. Чем он думал, отправляясь	nom_prep	1	молния ударить X	ins	0	V,пе=прош,твор,ед,прич,полн,жен,сов,действ	0	в палку	в+acc	0	0			1	1
8	vladimirpozner.ru	одной стороны. С другой стороны, буквально	молнией меня ударило	, когда я вдруг понял, что вот я откуда,	ins_acc	0	молния X ударить	ins	1	V,пе=прош,ед,изъяв,сред,сов	1	меня	acc	1	0			0	0
9	esenin.su	было — вот так же шел по жнивью, и меня как	молнией вдруг ударило	, и вся музыка поэмы памяти Есенина у меня	ins_acc	0	X молния ударить	ins	1	V,пе=прош,ед,изъяв,сред,сов	1	меня	acc	1	0			0	0
10	sovets.ru	мне при его иссиня голубых взглядах как	ударило в сердце молнией	.и НАЧАЛОСЬ.Я поняла что его сильно люблю	ins_prep	0	ударить X молния	ins	1	V,пе=прош,ед,изъяв,сред,сов	0	в сердце	в+acc	0	0			0	0
9	new.topos.ru	небо и тут же в мгновение ока был испепелён	ударившей в него молнией	. Но и молния, которая есть Сверхчеловек	nom_prep	1	ударить X молния	ins	0	V,пе=прош,твор,ед,прич,полн,жен,сов,действ	0	в него	в+acc	1	0			1	1
11	starosti.ru	Малороссийскаго гренадерского полка со стрельбы	ударившей в роту молнией	убить унтер-офицер и четверо контужены.	ins_prep	0	ударить X молния	ins	0	V,пе=прош,твор,ед,прич,полн,жен,сов,действ	0	в роту	в+acc	0	0			1	1
12	newtimes.ru	выяснилось, уже звонили, но, видимо, и там всех	ударило какой-то шаровой молнией	, а то и похуже. Росрыболовство не отвечало	ins_acc	0	X ударить молния	ins	1	V,пе=прош,ед,изъяв,сред,сов	1	всех	acc	1	0			1	0
13	oopros.ru	Срочно!1500 руб.! Мужчины и женщины, которых	ударило током или молнией	и остались следы (ожоги) на теле.Cрочно	ins_acc	0	X ударить молния	ins	1	V,пе=прош,ед,изъяв,сред,сов	1	которых	acc	1	0			1	0
12	rusvera.mrezha.ru	время грозы в открытую форточку влетела	молния и ударила	его и еще двух монашек. Их сразу вынесли	nom_acc	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	1	его	acc	1	0			1	1
	chitalnya.ru	оно уже заняло четверть небосвода, и вдруг	молния из него ударила	в океан, почти ослепив Тамару. Через секунду	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в океан	в+acc	0	0			1	1
	spas-preobrajenie.ru	сказал эту фразу на проповеди, и внезапно	молния действительно ударила	в церковь — до сих пор никто из тех, кто	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в церковь	в+acc	0	0			1	1
	eng.marshrut-club.com	, а в стороне (а иногда и ниже вершины),	молния может ударить	в ближайший выступ. Исходя из этого, стоит	nom_prep	1	молния ударить X	nom	1	V,пе=инф,сов	0	в ближайший выступ	в+acc	0	0			1	0
13	lib.rus.ec	, когда придет их время. Вдруг блеснула	молния. Она ударила	прямо в жреца. И он упал бездыханный. Толпа	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в жреца	в+acc	1	0			1	1
	m.pavon.kz	на своем примере доказал, что не только	молния может дважды ударить	в одно место. Мужчина "обнес" одну и ту	nom_prep	1	молния ударить X	nom	1	V,пе=инф,сов	0	в одно место	в+acc	0	0			1	0
14	psycholevity.com	накрываюсь накидкой (это гарантирует, что	молния меня не ударит	) и одним глазком наблюдаю страшную картину	nom_acc	1	молния X ударить	nom	1	V,пе=непрош,ед,изъяв,3-л,сов	1	меня	acc	1	0			1	0
	gooa.ru	в кольцах дыма, повергли демонов, словно	молния, ударившая	в гигантские деревья. Сотней колосовидных	nom_prep	1	молния ударить X	nom	0	V,пе=прош,им,ед,прич,полн,жен,сов,действ	0	в  деревья	в+acc	0	0			1	1
	pilipsv.ru	припали к самой земле. И тогда, вспыхнула	молния и ударила	именно в то самое место. И остался только	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в то самое место	в+acc	0	0			1	1
15	gali-fe-du.ru	умыться с утра – нечисть радовать, да и	молния может ударить	в грязнулю. Умывались всегда как можно	nom_prep	1	молния ударить X	nom	1	V,пе=инф,сов	0	в грязнулю	в+acc	1	0			1	0
	smisl-zhizni.ru	Сильный треск раздался среди леса. Огромная	молния беспощадно ударила	по березе, опалив сердцевину ее ствола.	nom_prep_dat	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	по березе	по+dat	0	0			1	1
	ribalych.ru	нет. Судьба… У нас девушка погибла, когда	молния в дерево ударила	, а она рядом пробегала. Деревом её убило	nom_prep	1	молния X ударить	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в дерево	в+acc	0	0			1	1
	xyz.org.ua	зловещее предзнаменование апокалипсиса. А	молния, которая ударила	во дворец Папы Римского, во время его свержения	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	во дворец	в+acc	0	0			1	1
	gooa.ru	внезапно напал на колесницу Дурдхарши, словно	молния, ударившая	в гору. Кони его упали искалеченными, столб	nom_prep	1	молния ударить X	nom	0	V,пе=прош,им,ед,прич,полн,жен,сов,действ	0	в гору	в+acc	0	0			1	1
	pressria.ru	знакомый ехал в трамвае во время грозы, и	молния, ударившая	в трамвай, серьезно его травмировала. Есть	nom_prep	1	молния ударить X	nom	0	V,пе=прош,им,ед,прич,полн,жен,сов,действ	0	в трамвай	в+acc	0	0			1	1
	vocerkovlenie.ru	разбирал, что попадало в его руки и, когда	молния снова ударила	в скалу, схватился он жадно за неё и рванул	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в скалу	в+acc	0	0			1	1
	godmol.ru	следующего рождественского костра. Считалось, что	молния не ударит	в дом, где горит святочное полено, что	nom_prep	1	молния ударить X	nom	1	V,пе=непрош,ед,изъяв,3-л,сов	0	в дом	в+acc	0	0			1	1
	psyinst.ru	невероятно древней. Небо разверзлось, и	молния невероятной силы ударила	в скалу и стала выжигать на ней какие-то	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в скалу	в+acc	0	0			1	1
	holidaygid.ru	несчастья: пожар в доме императора в 1065 году,	молния, ударившая	в императорскую спальню в 1107 году, обрушенные	nom_prep	1	молния ударить X	nom	0	V,пе=прош,им,ед,прич,полн,жен,сов,действ	0	в императорскую спальню	в+acc	0	0			1	1
	ufagub.com	бедствием для горожан. 23 мая 1759 года	молния, ударившая	в Михайловскую башню кремля, стала причиной	nom_prep	1	молния ударить X	nom	0	V,пе=прош,им,ед,прич,полн,жен,сов,действ	0	в Михайловскую башню	в+acc	0	0			1	1
	lib.rus.ec	девчонка. И тут… Нет, гром не грянул. И	молния не ударила	в телебашню, озарив всё вокруг неоновой	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в телебашню	в+acc	0	0			1	1
	pets.kiev.ua	грозы черных кошек выгоняли за дверь, чтобы	молния не ударила	в дом. Во Франции, Болгарии и в Англии	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в дом	в+acc	0	0			1	1
	secrets-of-happy-family.narod.ru	горючее на Земле мгновенно бы вспыхнуло, а	молния, ударившая	в дерево, произвела бы вспышку, от которой	nom_prep	1	молния ударить X	nom	0	V,пе=прош,им,ед,прич,полн,жен,сов,действ	0	в дерево	в+acc	0	0			1	1
	ralindia.co.in	других. Поэтому мы дали клятву мира. Голубая	молния словно цепом ударила	по горам; заворчал, будто выражая долго	nom_prep_dat	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	по горам	по+dat	0	0			1	1
	svidok.ua	предварительным данным, взрыв спровоцировала	молния, которая ударила	в трансформаторную будку. С пожаром пытаются	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в трансформаторную будку	в+acc	0	0			1	1
	prostory.net.ua	с двумя пылающими куполами подмышками –	молния раз ударила	в церковь Девы Марии в Дорнахе и фигуру	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в церковь	в+acc	0	0			1	1
	qwe.by	снимите все металлические украшения. Иначе	молния может ударить	прямо в них. 8. Держитесь подальше от	nom_prep	1	молния ударить X	nom	1	V,пе=инф,сов	0	в них	в+acc	0	0			1	0
	qwe.by	его в безопасное место. Помните о том, что	молния может ударить	в одно и место дважды. Уложите пострадавшего	nom_prep	1	молния ударить X	nom	1	V,пе=инф,сов	0	в одно и место	в+acc	0	0			1	0
	ruszhizn.ruspole.info	хоромы мои сгорели. Начисто! Гроза была,	молния в крышу ударила	. Полыхнуло так, что остались одни головёшки	nom_prep	1	молния X ударить	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в крышу	в+acc	0	0			1	1
	dogovor-law.ru	провинность. Но, как известно из практики,	молния может ударить	в одно место не просто дважды, а десятки	nom_prep	1	молния ударить X	nom	1	V,пе=инф,сов	0	в одно место	в+acc	0	0			1	0
16	elektroas.ru	телефоны более безопасны во время грозы, но	молния может ударить	человека электрическим током, который стоит	nom_acc	1	молния ударить X	nom	1	V,пе=инф,сов	1	человека	acc	1	0			1	0
	elektro911.ru	объекта приводит к тому, что во время грозы	молния может ударить	в купол, крест и без надежной молниезащиты	nom_prep	1	молния ударить X	nom	1	V,пе=инф,сов	0	в купол	в+acc	0	0			1	0
	ikonu.ru	этот миг небеса разверзлись, и сверкнула	молния. Она ударила	точно в языческое капище: идол рухнул,	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в языческое капище	в+acc	0	0			1	1
	mysterylife.ru	сопровождается молнией. В этот раз возникла шаровая	молния, которая ударила	в церковь одновременно с ураганным ветром	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в церковь	в+acc	0	0			1	1
	kudavtur.ru	рекордсменкой по высоте, пока в 1625 году	молния не ударила	в ее 159-метровый шпиль и не сожгла храм	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в  шпиль	в+acc	0	0			1	1
	russiancossacks.getbb.ru	крупный) ехидно спросил меня "не боишься, что	молния в дом ударит	?" Видно терпение у них на исходе, все идет	nom_prep	1	молния X ударить	nom	1	V,пе=непрош,ед,изъяв,3-л,сов	0	в дом	в+acc	0	0			1	1
	kruiz2011.ru	апреле 1777 года в Эльблонге, озарившая небо	молния, ударила	в церковную башню. Возник серьезный пожар	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в башню	в+acc	0	0			1	1
	honabraun.ru	полях, чтобы отогнать градовые тучи. Чтобы	молния не ударила	в дом, крепили ее стебли к очагу. Из крапивы	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в дом	в+acc	0	0			1	1
	v-bezopasnosti.ru	молния Как мы видим в представленном видео,	молния трижды ударила	в шпиль второго по высоте здания в США.	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в шпиль	в+acc	0	0			1	1
	stopnickel.ru	водитель) ехидно спросил меня: «Не боишься, что	молния в дом ударит	?» Видимо, терпение у них на исходе. У	nom_prep	1	молния X ударить	nom	1	V,пе=непрош,ед,изъяв,3-л,сов	0	в дом	в+acc	0	0			1	1
	arguswebsite.ru	является отличным проводником тока и поэтому	молния может ударить	в почву. Будет лучше, если человек просто	nom_prep	1	молния ударить X	nom	1	V,пе=инф,сов	0	в почву	в+acc	0	0			1	0
	sedmica.orthodoxy.ru	освященную на праздник Сретения свечу, то	молния не ударит	в дом" и т.д. и т.п. Подвох в том, что	nom_prep	1	молния ударить X	nom	1	V,пе=непрош,ед,изъяв,3-л,сов	0	в дом	в+acc	0	0			1	1
	tonos.ru	под дерево сижу жду начял думать в вдруг	молния в дерево ударит	смотрю в метре от меня какой то шарик размером	nom_prep	1	молния X ударить	nom	1	V,пе=непрош,ед,изъяв,3-л,сов	0	в дерево	в+acc	0	0			1	1
	petr-pavel.kz	раздался удар грома, из-за тучи сверкнула	молния и ударила	в храм. Когда дым рассеялся, все увидели	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в храм	в+acc	0	0			1	1
	antonadventurer.ru	хотел задать вопрос соседу, но вдруг новая	молния с неба ударила	прямо в мой могучий ствол. Вспышка боли	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в мой могучий ствол	в+acc	0	0			1	1
	volgadog.0pk.ru	успел он закончить, как над озером сверкнула	молния и ударила	яркой огненной стре- лой прямо в середину	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в середину	в+acc	0	0			1	1
	rybalku.ru	дым имеет высокую электропроводность, и	молния может ударить	в трубу на вашей крыше. Также, соответственно	nom_prep	1	молния ударить X	nom	1	V,пе=инф,сов	0	в трубу	в+acc	0	0			1	0
17	lib.rus.ec	незаметно для стражи, сорвалась тоненькая	молния и ударила	эльфа в спину. Его пару раз встряхнуло	nom_acc	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	1	эльфа	acc	1	1	в спину	в+acc	1	1
	lib.rus.ec	столько, что щит этот аж засветился, зато и	молния, ударив	в него, смогла лишь высечь сноп великолепных	nom_prep	1	молния ударить X	nom	0	V,пе=прош,деепр,сов	0	в него	в+acc	0	0			1	1
18	lib.rus.ec	видела, но люди поговаривают, вроде как	молния в него ударила	: почернел весь, будто над адским пламенем	nom_prep	1	молния X ударить	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в него	в+acc	1	0			1	0
	chto-takoe-lyubov.net	непременно зажгла какой-нибудь предмет. Чтобы	молния не ударила	в какой-нибудь дом или другую постройку	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в дом	в+acc	0	0			1	1
	knigotopia.ru	задрожала изнутри и словно тяжело вздохнула. А	молния вновь ударила	в то же место. Потом еще и еще раз. К пастуху	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в то же место	в+acc	0	0			1	1
	libs.ru	заорал Папа. Из Магического Посоха вылетела	молния и ударила	в гущу толпы. Там, куда она попала, леприконов	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в гущу толпы	в+acc	0	0			1	1
	libs.ru	Снулле поднял руку, и из нее скользнула	молния. Молния ударила	в землю с противным скрежетом и громом.	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в землю	в+acc	0	0			1	1
	forum.novgorod.ru	гроза... а до этого в Поддорском районе	молния в здание ударила	... Вот такие новости Началась сильная	nom_prep	1	молния X ударить	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в здание	в+acc	0	0			1	1
	idp-cs.net	в переполненных отдыхающими пляж ударила	молния. Молния ударила	в один из шатров от солнца. После произошедшего	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в один из шатров	в+acc	0	0			1	1
	ninpo.org.ua	облака, они сталкиваются, образуя молнии,	молния может ударить	в землю и в этом месте начнет бить родник	nom_prep	1	молния ударить X	nom	1	V,пе=инф,сов	0	в землю	в+acc	0	0			1	0
	adyghe.ru	содержится в большом почете до тех пор, пока	молния не ударит	в другое место. Все члены семьи, в дом	nom_prep	1	молния ударить X	nom	1	V,пе=непрош,ед,изъяв,3-л,сов	0	в другое место	в+acc	0	0			1	1
19	coollib.net	головой, скривилась, сцепила ладони. Синяя	молния с треском ударила	в Вааджа, но чародей поднял меч, и разряд	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в Вааджа	в+acc	1	0			1	1
20	coollib.net	меч и бросился в атаку. Из шара вылетела	молния и ударила	чудовище. В следующее мгновение чародей	nom_acc	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	1	чудовище	acc	1	0			1	1
	lostik.6bb.ru	действия были пророческими — во время грозы	молния едва не ударила	в жилище Клер. («Каждый сам за себя», 4-	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в жилище	в+acc	0	0			1	1
21	7kingdoms.ru	приблизились, молния — яркая, пурпурная, горящая	молния — ударила	с небес в дорнийцев, покрытых сталью, и	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в дорнийцев	в+acc	1	0			1	1
	sudba.info	Когда во время сильной грозы разразилась	молния и ударила	прямо в часовню. Хранившаяся там икона	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в часовню	в+acc	0	0			1	1
	newforum.delaysam.ru	Например, если из трубы идёт горячий воздух, то	молния не ударит	в молниеотвод, а её заряд пойдёт по горячему	nom_prep	1	молния ударить X	nom	1	V,пе=непрош,ед,изъяв,3-л,сов	0	в молниеотвод	в+acc	0	0			1	1
	shapovalov.org	который обладает низким сопротивлением, —	молния скорее ударит	в громоотвод, чем в здание с высоким сопротивлением	nom_prep	1	молния ударить X	nom	1	V,пе=непрош,ед,изъяв,3-л,сов	0	в громоотвод	в+acc	0	0			1	1
22	riverflow.ru	голос был уже мне знаком. Даже, если бы	молния меня ударила	, это не было бы более сильным шоком. Вот	nom_acc	1	молния X ударить	nom	1	V,пе=прош,ед,изъяв,жен,сов	1	меня	acc	1	0			1	0
23	myshared.ru	колени, направив их пальцами к земле. Если	молния и ударит	в вас, то она пройдёт по плечам, по рукам	nom_prep	1	молния ударить X	nom	1	V,пе=непрош,ед,изъяв,3-л,сов	0	в вас	в+acc	1	0			1	0
	myshared.ru	что дым имеет большую электропроводность и	молния может ударить	в дымоход Во время молнии нужно отключить	nom_prep	1	молния ударить X	nom	1	V,пе=инф,сов	0	в дымоход	в+acc	0	0			1	0
	proektant.org	конструкции к молниеотводам, чтобы в них	молния не ударила	( если использовать сетку), а все неметаллические	nom_prep	1	X молния ударить	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в них	в+acc	0	0			1	1
24	avvakul.ru	как дёрнулся плечом и, говорит, будто меня	молния какая-то ударила	.. "Подожди, я ж могу что-то двигать, часть	nom_acc	1	X молния ударить	nom	1	V,пе=прош,ед,изъяв,жен,сов	1	меня	acc	1	0			0	0
	forums.balancer.ru	часть данных пользователей после того как	молния четыре раза ударила	по дата-центру компании в Бельгии, сообщает	nom_prep_dat	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	по дата-центру	по+dat	0	0			1	1
	meteovesti.ru	частями, или между облаком и землёй. То есть	молния может ударить	прямо в воздух. В большинстве случаев	nom_prep	1	молния ударить X	nom	1	V,пе=инф,сов	0	в воздух	в+acc	0	0			1	0
25	lordvader.org	сбежал только сейчас? Нелогично. Как будто	молния вдруг ударила	Пиетта. Точно, обычная логика здесь не	nom_acc	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	1	Пиетта	acc	1	0			0	0
	ru.teopedia.org	: « Первое, нет никаких упоминаний, что	молния когда-либо ударила	в Иерусалимский храм в течение тысячи лет	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в Иерусалимский храм	в+acc	0	0			1	1
26	pobedish.ru	там поле какое-то, темно. Но тут словно	молния по мне ударила	, я почувствовал что идёт помощь! Ну, как	nom_prep_dat	1	молния X ударить	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	по мне	по+dat	1	0			0	0
	alwdis.diary.ru	обоим пунктам. В знаменитый запорожский дуб	молния любезно ударила	8 мая с.г., чем сильно упростила мне гугленье	nom_prep	1	X молния ударить	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в дуб	в+acc	0	0			1	1
	opentextnn.ru	ничего не может приключиться, если только	молния не ударит	сначала в мачту? Так о чем же тогда говорить	nom_prep	1	молния ударить X	nom	1	V,пе=непрош,ед,изъяв,3-л,сов	0	в мачту	в+acc	0	0			1	1
	accbud.ua	абсолютно не дает никаких гарантий, что	молния не ударит	в дом. Скорее, наоборот — может поспособствовать	nom_prep	1	молния ударить X	nom	1	V,пе=непрош,ед,изъяв,3-л,сов	0	в дом	в+acc	0	0			1	1
	pikabu.ru	повлиять на исход матча. Во время дождя	молния может ударить	в любую часть футбольного поля и вывести	nom_prep	1	молния ударить X	nom	1	V,пе=инф,сов	0	в любую часть футбольного поля	в+acc	0	0			1	0
27	kisakkain2014.ucoz.ru	”), потому что в этом году около родника	молния насмерть ударила	девушку Альфию. И за родником стала ухаживать	nom_acc	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	1	девушку	acc	1	0			1	1
	millergenry.org.ru	успев начать представление, как вспыхнула	молния. Она ударила	в дерево, стоявшее неподалеку. Я побледнел	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в дерево	в+acc	0	0			1	1
	inpearls.ru	ворвался ливень, Как будто знамение — гром. И	молния вдруг ударила	Прямо в стёкла. В мой дом. И захлебнулись	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в стёкла	в+acc	0	0			1	1
	portalsafety.at.ua	где-то в стороне кабины водителя блеснула	молния и ударила	прямо в троллейбус. Он остановился. Девушка	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в троллейбус	в+acc	0	0			1	1
	kid-author.ru	Хомса. -- На небе не было ни облачка. А	молния три раза ударила	в платяной шкаф, так и расколов его! А	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в платяной шкаф	в+acc	0	0			1	1
	sport-data.ru	одной из лиг чемпионата футболиста убила	молния, которая ударила	прямо в газон, где находились игроки. Восемь	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в газон	в+acc	0	0			1	1
	goodshelper.ru	случай: в средневековой Чехии для того, чтобы	молния не ударила	в постройку, бытовало «суеверие» устанавливать	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в постройку	в+acc	0	0			1	1
	lit.lib.ru	солнечный день, налетело облако, блеснула	молния и ударила	прямо в трубу сакли, в которой жила эта	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в трубу	в+acc	0	0			1	1
	b-clinica.ru	грозы выставить в окно обнаженные ягодицы,	молния не ударит	в дом. На Руси женщины использовали свои	nom_prep	1	молния ударить X	nom	1	V,пе=непрош,ед,изъяв,3-л,сов	0	в дом	в+acc	0	0			1	1
	nature.donrise.ru	мнению моих любознательных предшественников,	молния, ударив	в землю, разлеталась на тысячи раскаленных	nom_prep	1	молния ударить X	nom	0	V,пе=прош,деепр,сов	0	в землю	в+acc	0	0			1	1
	eidren.rolka.su	Ментор. Девушка немного дёрнулась, словно	молния в голову ударила	. (О, проклятье, значит он не понял!) И	nom_prep	1	молния X ударить	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в голову	в+acc	0	0			1	1
	fanfics.me	открытого заклинания испарилась. На этот раз	молния метко ударила	в этот дом, расколов его на части. — Люциус	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в этот дом	в+acc	0	0			1	1
