	Source	Left	Target	Right	Type	Subject	Order	Arg0_gram	Verb_fin	Verb_gram	Obj	Arg1	Arg1_gram	Arg1_anim	Has_arg2	Arg2	Arg2_gram	Direct_meaning	Fact
	delphis.ru	предварительной версии, причиной возгорания стала	молния, которая ударила	в топливный танк. В Пакистане во время	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в топливный танк	в+acc	0	0			1	1
28	labirintdushi.mybb.ru	какое-нибудь несчастье? – Ты опоздал, сын,	молния меня уже ударила	, – в изумлении пробормотал оборотень, и	nom_acc	1	молния X ударить	nom	1	V,пе=прош,ед,изъяв,жен,сов	1	меня	acc	1	0			1	1
29	nm1925.ru	экстаз длился и длился, Андрыч выл, наверное,	молния в него ударила	особенно сильно. — Андрыч вас всех надул	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в него	в+acc	1	0			1	1
	fobii.net	станет плохо, - что задохнусь во сне, - что	молния обязательно ударит	в наш дом, - и,что возможно совсем несбыточно	nom_prep	1	молния ударить X	nom	1	V,пе=непрош,ед,изъяв,3-л,сов	0	в наш дом	в+acc	0	0			1	1
30	divinecosmos.e-puzzle.ru	обелисками с шумом возникла дугообразная	молния, ударив	меня в грудь! Сила молнии буквально повергла	nom_acc	1	молния ударить X	nom	0	V,пе=прош,деепр,сов	1	меня	acc	1	1	в грудь	в+acc	1	1
	kostromka.ru	ночью, заставляла одеться, боялись, как бы	молния не ударила	в дом. Дом был деревянный, окна выходили	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в дом	в+acc	0	0			1	1
	nevzdrasmion.livejournal.com	) а мысль – это чистое скольжение. Когда	молния собирается ударить	в землю, она выбирает себе поверхность,	nom_prep	1	молния ударить X	nom	1	V,пе=инф,сов	0	в землю	в+acc	0	0			1	1
	rukzakputeschestwennika.ru	люблю, в прошлом году там потеря была —	молния в мельницу ударила	, горела, правда, не знаю, вся или отреставрировали	nom_prep	1	молния X ударить	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в мельницу	в+acc	0	0			1	1
31	budclub.ru	смертоубийство тут было, или как раз его-то	молния и ударила	. Человек вдруг пошевелился и попытался	nom_acc	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	1	его	acc	1	0			1	1
	rmvoz.ru	вдалеке – Полнеба откололо, разметало, И	молния, ударив	по реке, Как раскалённый бич, до дна достала	nom_prep_dat	1	молния ударить X	nom	0	V,пе=прош,деепр,сов	0	по реке	по+dat	0	0			1	1
	ufachildren.ru	землю. Внезапно с громким треском вспыхнула	молния, ударив	в молоденькое деревце посреди поляны. Громыхнули	nom_prep	1	молния ударить X	nom	0	V,пе=прош,деепр,сов	0	в молоденькое деревце	в+acc	0	0			1	1
32	kvpp.3bb.ru	ходить в грозу опасно! Мало ли что: вдруг	молния в тебя ударит	, или ты столкнёшься с хищником... - Я вполне	nom_prep	1	молния X ударить	nom	1	V,пе=непрош,ед,изъяв,3-л,сов	0	в тебя	в+acc	1	0			1	0
33	uae.nsknet.ru	из трезубца у него вырвалась натуральная	молния и внезапно ударила	в близлежащее женское тело. Тело задергалось	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в близлежащее женское тело	в+acc	1	0			1	1
	army-magicians.org	дерева с голубим кристаллом. С него слетела	молния которая ударила	в небо. Я быстро попрыгал на гору, и по	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в небо	в+acc	0	0			1	1
34	mmohelper.ru	И я не знаю как долго мне ждать, чтобы “	молния” ударила	меня снова. Реальная проблема состоит	nom_acc	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	1	меня	acc	1	0			0	0
	wordassociations.ru	обычно в виде огненного зигзага. Сверкнула	молния. Молния ударила	в дерево. Молнией убило. С быстротой молнии	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в дерево	в+acc	0	0			1	1
	gtbike.ru	в хижине служила грязь и в случае, если	молния все-таки ударит	в гофрированную крышу, мы хотя бы заземлены	nom_prep	1	молния ударить X	nom	1	V,пе=непрош,ед,изъяв,3-л,сов	0	в гофрированную крышу	в+acc	0	0			1	1
	segodnya.org.ua	1969 году, во время запуска "Аполлон-12",	молния дважды ударила	по космическому кораблю на 36-й и 52-й	nom_prep_dat	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	по космическому кораблю	по+dat	0	0			1	1
	pravsormovo.ru	громницы» во время грозы и молятся, чтобы	молния не ударила	в дом, дают её в руку умирающему, чтобы	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в дом	в+acc	0	0			1	1
	umniki.ru	обгоревший ствол, и столь явной причиной, как	ударившая в него молния	. Поэтому плести длиннейшие цепочки неверных	nom_prep	1	ударить X молния	nom	0	V,пе=прош,им,ед,прич,полн,жен,сов,действ	0	в него	в+acc	0	0			1	1
	v1.anekdot.ru	набросился орел и поднял его в поднебесье - и	ударила по орлу молния	и упал он с мячом в клюве в море..а море	nom_prep_dat	1	ударить X молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	по орлу	по+dat	0	0			1	1
35	asino.4geo.ru	искать убежища под деревом. Там в него и	ударила первая молния	. Когда он упал от удара, молния ударила	nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в него	в+acc	1	0			1	1
	stimmi.ru	утро, стоило мне открыть глаза, как в мозг	ударила шаровая молния	мысли. Я забыл ее уже часа через два, но	nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в мозг	в+acc	0	0			1	1
	ruslit.net	, выкрикивая колдовские слова. В мой щит	ударила ослепительная молния	и отразившись, попала в одного из моих	nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в щит	в+acc	0	0			1	1
	buran.ru	37-ой секунде полета в ракету "Сатурн-5"	ударила первая молния	. Вспышку молнии увидел из членов экипажа	nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в ракету	в+acc	0	0			1	1
	pyatzvezd.ru	нас предупредили, что музей после пожара (	ударила шаровая молния	) и по этой причине, заходить в здания мы	nom_acc	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	1	музей	acc	0	0			1	1
	salamand.ru	свечение, то стало уже действительно страшно.	Ударит в ледоруб молния	, и все, прощай человечек. Пришлось тащить	nom_prep	1	ударить X молния	nom	1	V,пе=непрош,ед,изъяв,3-л,сов	0	в ледоруб	в+acc	0	0			1	1
	karelidas.eu	дверцей, точно в то место, где стоял Саша,	ударила долгая синяя молния	. Я буду просто смотреть в окно… — Садись	nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в то место	в+acc	0	0			1	1
36	dumskaya.net	уроке физкультуры погибла девочка - в нее	ударила молния : молния	бывает не только в дождь, просто неудачное	nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в нее	в+acc	1	0			1	1
	salamand.ru	для древних людей был связан с пожарами –	ударит в дерево молния	или загорится трава, когда капелька воды	nom_prep	1	ударить X молния	nom	1	V,пе=непрош,ед,изъяв,3-л,сов	0	в дерево	в+acc	0	0			1	1
	argo-school.ru	не окрашена. Поэтому предмет, в который	ударит [молния	], приходит в движение еще прежде удара,	nom_prep	1	X ударить молния	nom	1	V,пе=непрош,ед,изъяв,3-л,сов	0	в который	в+acc	0	0			1	1
	planetamagii.forumbelarus.com	цепей, неведомо откуда, из безоблачного неба	ударила ослепительная молния	в жезл Царя, и весь Его Облик сразу окутался	nom_prep	1	ударить молния X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в жезл	в+acc	0	0			1	1
	insbrokers.ru	точно нельзя, — это пожар. "В трубу ее дачи	ударила обычная молния	. В результате крайне сильного перепада	nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	В трубу	в+acc	0	0			1	1
	ruslit.net	лягушка, и замахал руками. Вспыхнуло, в костер	ударила синевато-белая молния	, и горящие ветви разбросало в стороны.	nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в костер	в+acc	0	0			1	1
	alex-berg.ru	отливом должна быть». В середину поляны вновь	ударила изумрудного цвета молния	, а затем еще и еще пока посреди поляны	nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	В середину поляны	в+acc	0	0			1	1
	ura.ru	обрушенные ветром сосны, а жительницу Златоуста —	ударившая в палатку молния	. Более десятка человек получили травмы,	nom_prep	1	ударить X молния	nom	0	V,пе=прош,им,ед,прич,полн,жен,сов,действ	0	в палатку	в+acc	0	0			1	1
	e-vestnik.ru	событие: во время вечернего богослужения	ударившая в храм молния	вошла в деревянный иконостас и опалила	nom_prep	1	ударить X молния	nom	0	V,пе=прош,им,ед,прич,полн,жен,сов,действ	0	в храм	в+acc	0	0			1	1
	rpczmoskva.org.ru	в поисках пропитания, случилась гроза и	ударила в шалаш молния	с небес и огнем сожгла его дотла. Вернувшись	nom_prep	1	ударить X молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в шалаш	в+acc	0	0			1	1
	perehodjournal.ru	меня при совершенно ясном небе в громоотвод	ударила небольшая молния	. Хотя это, возможно, лишь совпадение, мне	nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в громоотвод	в+acc	0	0			1	1
	yantau.ru	редкое стечение обстоятельств, и только. Ну,	ударила в сосну молния	, ну, загорелись и тлеют горные породы…	nom_prep	1	ударить X молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в сосну	в+acc	0	0			1	1
	premija-ru.eu	они растут, тем тащить тяжелее. И однажды	ударила в дерево молния	, вся белочкина семья погибла, только одного	nom_prep	1	ударить X молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в дерево	в+acc	0	0			1	1
	soligalich.smi44.ru	лето — стала молния. (Утверждают, что в дом	ударила шаровая молния	.) В тушении участвовали три машины ПЧ-19	nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в дом	в+acc	0	0			1	1
	delovoy.net.ua	назад наступил критический момент: в осколок	ударила мощнейшая молния	, один из беззвучных и невидимых всплесков	nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в осколок	в+acc	0	0			1	1
	csdb-samara.ru	полнеба, а дождя — ну хоть бы капля упала.	Ударила тогда молния	в сосну на пригорке, загорелась она, глазом	nom_prep	1	ударить молния X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в сосну	в+acc	0	0			1	1
	delovoy.net.ua	и лопнула. Когда отчима хоронили, в дом	ударила шаровая молния	и сожгла его дотла. Судьба Джеймса и деньги	nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в дом	в+acc	0	0			1	1
37	nkozlov.ru	на сердце, скажут, что в них непременно	ударила бы молния	. Хотя следы садизма и мазохизма присущи	nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в них	в+acc	1	0			1	0
	moscowfamily.ru	Раньше я такого никогда не видела. В крест	ударила шаровая молния	.Она ополила бородуна иконе Иисуса и несколько	nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	В крест	в+acc	0	0			1	1
	abstrugatskie.ru	дверь как раз в тот момент, когда в стол	ударила первая молния	. Я шарахнулся. Голос Витьки рявкнул какое	nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в стол	в+acc	0	0			1	1
38	oncinema.info	глазах, когда он еще был маленьким. Женщину	ударила шаровая молния	, но в ее смерти обвинили невиновного отца	nom_acc	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	1	Женщину	acc	1	0			1	1
39	lib.rus.ec	заранее придуманному плану. В дракона сразу	ударила зеленая молния	и какое‑то заклятье. ‑ У дракона вот с	nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	В дракона	в+acc	1	0			1	1
40	fargate.ru	подумал что-то вроде «О, Боже, в меня сейчас	ударит карающая молния	»? ДЖЕНСЕН: У моей бабушки прямая линия	nom_prep	1	X ударить молния	nom	1	V,пе=непрош,ед,изъяв,3-л,сов	0	в меня	в+acc	1	0			1	0
	story.votpusk.ru	года случилось несчастье. В здание усадьбы	ударила шаровая молния	, и начался пожар. Все это происходило в	nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	В здание	в+acc	0	0			1	1
	mahanenko.ru	щит, покрывая с головы до ног, в который	ударила черная молния	, не причинив урона, но отбросив на несколько	nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в который	в+acc	0	0			1	1
	fan.lib.ru	половине слова. В чашу фонтана из ниоткуда	ударила сиреневая молния	, миг спустя последовал оглушительный громовой	nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	В чашу фонтана	в+acc	0	0			1	1
41	fan.lib.ru	взмахнул копьем, с кончика острия в Варнаву	ударила зеленоватая молния	. Тот, впрочем, был уже готов. Последние	nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в Варнаву	в+acc	1	0			1	1
	zametkielectrika.ru	сам. У меня был случай когда в электросеть	ударила шаровая молния	и перенапряжение было миллионы вольт. По	nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в электросеть	в+acc	0	0			1	1
	rus.1september.ru	больше, чем людей, видевших место, в которое	ударила обычная молния	. В нашей стране данные наблюдений за шаровыми	nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в которое	в+acc	0	0			1	1
42	litkniga.ru	Девушка подалась вперед, и тотчас в нее	ударила сильнейшая молния	. – Держите ее! – Раздался запоздалый крик	nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в нее	в+acc	1	0			1	1
43	pisatel.forumbb.ru	Смерть'. В охваченного агонией двуглавца	ударила красная молния	. На землю посыпались тысячи опаленных пчёл	nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	В охваченного агонией двуглавца	в+acc	1	0			1	1
	misterium-rpg.ru	ещё перегораживало путь, а в тело эльфа	ударила бирюзовая молния	, знакомая здесь только Инуэну. Техника	nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в тело эльфа	в+acc	0	0			1	1
	artofwar.ru	поверхность. Метрах в ста от него в воду	ударила ослепительно яркая молния	и оглушительный грохот ухнул по привыкшим	nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в воду	в+acc	0	0			1	1
	mirymoskvy.ru	несколько столетий. В 1369 году в минарет	ударила гигантская молния	, серьезно повредившая верхний четвертый	nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в минарет	в+acc	0	0			1	1
44	opentextnn.ru	огонь, но дело тут в том, что сейчас в него	ударила та незримая молния	, которая подстерегает каждого из нас; она-то	nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в него	в+acc	1	0			0	0
	lib.rus.ec	кулаки сжались, а в землю у самых ног принца	ударила предупредительная молния	. – Да уж, – прикрыл глаза ладонью рю Мальвей	nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в землю	в+acc	0	0			1	1
	sun-expo.ru	Башкирии росло огромное дерево. Как-то раз	ударила в него молния	, дерево загорелось, а огонь ушёл по его	nom_prep	1	ударить X молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в него	в+acc	0	0			1	1
	fiz.do.am	участков. После того как шар исчез, в сарай	ударила зигзагообразная молния	, вызвавшая пожар. В 1877 г. на французском	nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в сарай	в+acc	0	0			1	1
45	3k.mail.ru	выкрикнул заклинание и во второго стража	ударила ветвистая молния	, тот успел отскочить и молния лишь задев	nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	во второго стража	в+acc	1	0			1	1
	tyt-skazki.ru	руку, прошептала заклинание – и в воздух	ударила голубая молния	. Она прошла чуть в стороне от головы дракона	nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в воздух	в+acc	0	0			1	1
46	gothic.ag.ru	близости Барьера, и вас может весьма ощутимо	ударить магическая молния	. Направляйтесь по дороге вслед за Диего	nom_acc	1	X ударить молния	nom	1	V,пе=инф,сов	1	вас	acc	1	0			1	0
47		и лег на землю: он был уверен, что в безбожника	молния ударит обязательно.		nom_prep	1	X молния ударить	nom	1	V,пе=непрош,ед,изъяв,3-л,сов	0	в безбожника	в+acc	1	0			1	0
14		― говорил его взгляд. Волка как	молнией ударило. Ему показалось ― этот взгляд был устремлён на него…		ins_acc	0	X молния ударить	ins	1	V,пе=прош,ед,изъяв,сред,сов	1	Волка	acc	1	0			0	0
49		Невесть откуда взявшаяся	молния ударила Митю в голову, выжгла язык и, не опалив даже		nom_acc	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	1	Митю	acc	1	1	в голову	в+acc	1	1
50		В 1918 году	молния ударила американского майора Саммеpфоpда, свалив его с лошади.		nom_acc	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	1	майора	acc	1	0			1	1
51		И в очередной раз сверкнувшая над гоночной трассой	молния судьбы ударила прямо в Алессандро, испепелив его ноги.		nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в Алессандро	в+acc	1	0			1	1
15		Ее в детстве	молнией ударило, а потом ей дух грома кусочек жести подарил, чтоб		ins_acc	0	X молния ударить	ins	1	V,пе=прош,ед,изъяв,сред,сов	1	Ее	acc	1	0			1	1
53		Но уверяю вас, если бы эта	молния ударила и в меня тоже, я бы закричал, конечно, потому		nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в меня	в+acc	1	0			1	0
54		что-нибудь узнать о жизни исчезнувшей незнакомки, но тут меня словно	молния ударила!		nom_acc	1	X молния ударить	nom	1	V,пе=прош,ед,изъяв,жен,сов	1	меня	acc	1	0			0	0
16		Тут меня как	молнией ударило, прямо пронзило!		ins_acc	0	X молния ударить	ins	1	V,пе=прош,ед,изъяв,сред,сов	1	меня	acc	1	0			0	0
56		В эту минуту с высот от повернувшейся где-то ставни сорвалась	молния и ударила мальчика в глаза.		nom_acc	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	1	мальчика	acc	1	1	в глаза	в+acc	1	1
57		Таня схватилась за полоз. Точно	молния ударила ее по глазам. Она на секунду ослепла.		nom_acc	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	1	ее	acc	1	1	по глазам	по+dat	0	0
58		Молодого физика в грозу	ударила молния ― через месяц он блестяще защитил диссертацию.		nom_acc	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	1	физика	acc	1	0			1	1
17		гостить к сестре в Кодыму, и её во время грозы	ударило молнией; её откачивали, засыпали землёй, и она два часа лежала		ins_acc	0	X ударить молния	ins	1	V,пе=прош,ед,изъяв,сред,сов	1	её	acc	1	0			1	1
60		Даже не потому, что в них может	ударить молния и задеть палатку.		nom_prep	1	X ударить молния	nom	1	V,пе=инф,сов	0	в них	в+acc	1	0			1	0
61		Даже если в вас	ударит молния ― и то это кому-нибудь будет выгодно.		nom_prep	1	X ударить молния	nom	1	V,пе=непрош,ед,изъяв,3-л,сов	0	в вас	в+acc	1	0			1	0
62		парила над головами и неожиданно вспыхнула, как будто в нее	ударила молния.		nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в нее	в+acc	1	0			0	0
63		разорвана на сотни ленточек, лицо обожжено. Говорили, что в меня	ударила молния. Целую неделю я не приходил в себя, а когда		nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в меня	в+acc	1	0			1	0
64		Кстати, задолго до этого его	ударила молния и, опалив, умертвила часть его ветвей, обращенных к востоку		nom_acc	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	1	его	acc	1	0			1	1
18		как бы окаменевший в тот самый миг, когда Родионцева щелкнуло,	ударило маленькой молнией, а ее, бывшую рядом, нет.		ins_acc	0	X ударить молния	ins	1	V,пе=прош,ед,изъяв,сред,сов	1	Родионцева	acc	1	0			1	1
66		Волшебный художник остановился, как будто в него	ударила молния.		nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в него	в+acc	1	0			0	0
67		ожидал, что сию же секунду разверзнется потолок и в него	ударит молния.		nom_prep	1	X ударить молния	nom	1	V,пе=непрош,ед,изъяв,3-л,сов	0	в него	в+acc	1	0			1	0
68		― С отцом случилось несчастье, в него	ударила молния, и он лежит весь опаленный в лесу.		nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в него	в+acc	1	0			1	1
70		близлежащей деревеньки Бор говорят, что в то же время как	молния ударила в учителя, в окрестностях творилось нечто невообразимое, аномальное: ―Огромный		nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в учителя	в+acc	1	0			1	0
71		После очередного разряда,	молния ударила в одну из женщин.		nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в одну из женщин.	в+acc	1	0			1	1
19		Когда Калина не забил пенальти, всех как будто	молнией ударило.		ins_acc	0	X молния ударить	ins	1	V,пе=прош,ед,изъяв,сред,сов	1	всех	acc	1	0			0	0
20		Темное небо вспыхнуло, и раздался страшный грохот. - Похоже,	молнией нас ударило! - Командир мгновенно связался с Московским центром управления воздушным		ins_acc	0	молния X ударить	ins	1	V,пе=прош,ед,изъяв,сред,сов	1	нас	acc	1	0			1	0
74		А	молния, притянутая мобильником, ударит именно в него.		nom_prep	1	молния ударить X	nom	1	V,пе=непрош,ед,изъяв,3-л,сов	0	в него	в+acc	1	0			1	0
75		свою очередь, припоминает пациента―Барри Смита из Монтаны, в которого	молния ударила, когда он ехал верхом.		nom_prep	1	X молния ударить	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в которого	в+acc	1	0			1	1
76		Предположительно,	молния ударила в 36-летнего мужчину, когда он купался в водохранилище		nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в 36-летнего мужчину	в+acc	1	0			1	1
77		А захватчик, наверное, подумал, что в него	ударила молния — именно такой эффект производит этот полицейский гаджет.		nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в него	в+acc	1	0			1	0
21		В небе громыхнуло, и мужчину	ударило молнией.		ins_acc	0	X ударить молния	ins	1	V,пе=прош,ед,изъяв,сред,сов	1	мужчину	acc	1	0			1	1
79		данным Национальной погодной службы США, вероятность того, что в человека	ударит молния, невелика: максимум 1 к 600 000.		nom_prep	1	X ударить молния	nom	1	V,пе=непрош,ед,изъяв,3-л,сов	0	в человека	в+acc	1	0			1	0
80		В Николая	ударила молния и тут же пожалела об этом.		nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	В Николая	в+acc	1	0			1	1
22		исправного телефона у него есть еще одна особенность — как-то Ника	ударило молнией.		ins_acc	0	X ударить молния	ins	1	V,пе=прош,ед,изъяв,сред,сов	1	Ника	acc	1	0			1	1
82		приходил в себя через два дня после того, как его	ударила молния.		nom_acc	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	1	его	acc	1	0			1	1
23		приехать машина и довезти до деревни,―вспоминает Сагит, которого тоже	ударило молнией.		ins_acc	0	X ударить молния	ins	1	V,пе=прош,ед,изъяв,сред,сов	1	которого	acc	1	0			1	1
84		Марину спас нательный крест») Во время грозы в Марину Мотыгину	ударила молния.		nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в Марину Мотыгину	в+acc	1	0			1	1
85		Согласно подсчетам ученых, шанс, что в обычного человека	ударит молния,―один на два миллиона.		nom_prep	1	X ударить молния	nom	1	V,пе=непрош,ед,изъяв,3-л,сов	0	в обычного человека	в+acc	1	0			1	0
86		тот момент, когда отец срубил голову своей дочери, в него	ударила молния и сожгла дотла.		nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в него	в+acc	1	0			1	1
87		Что спасло жизнь мальчикам, в которых	ударила молния?		nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в которых	в+acc	1	0			1	1
88		При восхождении в них	ударила молния, один погиб, остальные получили тяжелые ранения.		nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в них	в+acc	1	0			1	1
89		На третьей же странице «Камина для Снегурочки» Дашу	ударила молния, и она потеряла память…		nom_acc	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	1	Дашу	acc	1	0			1	1
90		На Голгофе в него	ударила молния, но не повредила ему ничуть.		nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в него	в+acc	1	0			1	1
91		поднялись над морем на высоту 11 тысяч метров, в нас	ударила молния.		nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в нас	в+acc	1	0			1	1
92		1998 году в 33-летнюю англичанку Ники Хайд-Палли	ударила молния, что сравнимо с электрическим разрядом в несколько тысяч или		nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в 33-летнюю англичанку	в+acc	1	0			1	1
24		Когда мы оказались рядом, меня будто	ударило молнией,―вспоминал Буре-младший,―она снималась в сериалах в		ins_acc	0	X ударить молния	ins	1	V,пе=прош,ед,изъяв,сред,сов	1	меня	acc	1	0			0	0
94		Но в этот момент в Дениса	ударила молния.		nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в Дениса	в+acc	1	0			1	1